,id,job_title,location,connection,fit
0,1,2019 c.t. bauer college of business graduate magna cum laude and aspiring human resources professional,"Houston, Texas",85,
1,2,native english teacher at epik english program in korea,Kanada,500+ ,
2,3,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
3,4,people development coordinator at ryan,"Denton, Texas",500+ ,
4,5,advisory board member at celal bayar university,"İzmir, Türkiye",500+ ,
5,6,aspiring human resources specialist,Greater New York City Area,1,
6,7,student at humber college and aspiring human resources generalist,Kanada,61,
7,8,hr senior specialist,San Francisco Bay Area,500+ ,
8,9,student at humber college and aspiring human resources generalist,Kanada,61,
9,10,seeking human resources hris and generalist positions,Greater Philadelphia Area,500+ ,
10,11,student at chapman university,"Lake Forest, California",2,
11,12,"svp, chro, marketing & communications, csr officer  engie  houston  the woodlands  energy  gphr  sphr","Houston, Texas Area",500+ ,
12,13,human resources coordinator at intercontinental buckhead atlanta,"Atlanta, Georgia",500+ ,
13,14,2019 c.t. bauer college of business graduate magna cum laude and aspiring human resources professional,"Houston, Texas",85,
14,15,2019 c.t. bauer college of business graduate magna cum laude and aspiring human resources professional,"Houston, Texas",85,
15,16,native english teacher at epik english program in korea,Kanada,500+ ,
16,17,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
17,18,people development coordinator at ryan,"Denton, Texas",500+ ,
18,19,2019 c.t. bauer college of business graduate magna cum laude and aspiring human resources professional,"Houston, Texas",85,
19,20,native english teacher at epik english program in korea,Kanada,500+ ,
20,21,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
21,22,people development coordinator at ryan,"Denton, Texas",500+ ,
22,23,advisory board member at celal bayar university,"İzmir, Türkiye",500+ ,
23,24,aspiring human resources specialist,Greater New York City Area,1,
24,25,student at humber college and aspiring human resources generalist,Kanada,61,
25,26,hr senior specialist,San Francisco Bay Area,500+ ,
26,27,aspiring human resources management student seeking an internship,"Houston, Texas Area",500+ ,
27,28,seeking human resources opportunities,"Chicago, Illinois",390,
28,29,aspiring human resources management student seeking an internship,"Houston, Texas Area",500+ ,
29,30,seeking human resources opportunities,"Chicago, Illinois",390,
30,31,2019 c.t. bauer college of business graduate magna cum laude and aspiring human resources professional,"Houston, Texas",85,
31,32,native english teacher at epik english program in korea,Kanada,500+ ,
32,33,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
33,34,people development coordinator at ryan,"Denton, Texas",500+ ,
34,35,advisory board member at celal bayar university,"İzmir, Türkiye",500+ ,
35,36,aspiring human resources specialist,Greater New York City Area,1,
36,37,student at humber college and aspiring human resources generalist,Kanada,61,
37,38,hr senior specialist,San Francisco Bay Area,500+ ,
38,39,student at humber college and aspiring human resources generalist,Kanada,61,
39,40,seeking human resources hris and generalist positions,Greater Philadelphia Area,500+ ,
40,41,student at chapman university,"Lake Forest, California",2,
41,42,"svp, chro, marketing & communications, csr officer  engie  houston  the woodlands  energy  gphr  sphr","Houston, Texas Area",500+ ,
42,43,human resources coordinator at intercontinental buckhead atlanta,"Atlanta, Georgia",500+ ,
43,44,2019 c.t. bauer college of business graduate magna cum laude and aspiring human resources professional,"Houston, Texas",85,
44,45,native english teacher at epik english program in korea,Kanada,500+ ,
45,46,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
46,47,people development coordinator at ryan,"Denton, Texas",500+ ,
47,48,advisory board member at celal bayar university,"İzmir, Türkiye",500+ ,
48,49,aspiring human resources specialist,Greater New York City Area,1,
49,50,student at humber college and aspiring human resources generalist,Kanada,61,
50,51,hr senior specialist,San Francisco Bay Area,500+ ,
51,52,student at humber college and aspiring human resources generalist,Kanada,61,
52,53,seeking human resources hris and generalist positions,Greater Philadelphia Area,500+ ,
53,54,student at chapman university,"Lake Forest, California",2,
54,55,"svp, chro, marketing & communications, csr officer  engie  houston  the woodlands  energy  gphr  sphr","Houston, Texas Area",500+ ,
55,56,human resources coordinator at intercontinental buckhead atlanta,"Atlanta, Georgia",500+ ,
56,57,2019 c.t. bauer college of business graduate magna cum laude and aspiring human resources professional,"Houston, Texas",85,
57,58,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
58,59,people development coordinator at ryan,"Denton, Texas",500+ ,
59,60,aspiring human resources specialist,Greater New York City Area,1,
60,61,hr senior specialist,San Francisco Bay Area,500+ ,
61,62,seeking human resources hris and generalist positions,Greater Philadelphia Area,500+ ,
62,63,student at chapman university,"Lake Forest, California",2,
63,64,"svp, chro, marketing & communications, csr officer  engie  houston  the woodlands  energy  gphr  sphr","Houston, Texas Area",500+ ,
64,65,human resources coordinator at intercontinental buckhead atlanta,"Atlanta, Georgia",500+ ,
65,66,experienced retail manager and aspiring human resources professional,"Austin, Texas Area",57,
66,67,"human resources, staffing and recruiting professional","Jackson, Mississippi Area",500+ ,
67,68,human resources specialist at luxottica,Greater New York City Area,500+ ,
68,69,"director of human resources north america, groupe beneteau","Greater Grand Rapids, Michigan Area",500+ ,
